state,district,year,congress_nbr,vote
PA,2,1802,8,34693
PA,2,1804,9,20845
PA,2,1806,10,28763
PA,2,1808,11,54537
PA,2,1810,12,28452
PA,2,1812,13,22218
PA,2,1814,14,19202
PA,2,1816,15,19657
PA,2,1818,16,17835
PA,2,1820,17,23461
PA,2,1822,18,3853
PA,2,1824,19,3816
PA,3,1791,2,3463
PA,3,1794,4,1839
PA,3,1796,5,2425
PA,3,1798,6,5274
PA,3,1800,7,5121
PA,3,1802,8,42611
PA,3,1804,9,27418
PA,3,1806,10,36571
PA,3,1808,11,62289
PA,3,1810,12,36046
PA,3,1812,13,19287
PA,3,1814,14,15467
PA,3,1816,15,10505
PA,3,1818,16,16807
PA,3,1820,17,28014
PA,3,1822,18,4391
PA,3,1824,19,3822
PA,4,1796,5,5966
PA,4,1798,6,17278
PA,4,1800,7,19420
PA,4,1802,8,12108
PA,4,1804,9,9392
PA,4,1806,10,12620
PA,4,1808,11,23974
PA,4,1810,12,10865
PA,4,1812,13,3745
PA,4,1814,14,1561
PA,4,1816,15,2230
PA,4,1818,16,2967
PA,4,1820,17,4738
PA,4,1822,18,37638
PA,4,1824,19,38781
PA,5,1796,5,3566
PA,5,1798,6,4953
PA,5,1800,7,3632
PA,5,1802,8,4258
PA,5,1804,9,3318
PA,5,1806,10,5482
PA,5,1808,11,8764
PA,5,1810,12,3576
PA,5,1812,13,17697
PA,5,1814,14,16029
PA,5,1816,15,15227
PA,5,1818,16,14747
PA,5,1820,17,25350
PA,5,1822,18,3851
PA,5,1824,19,1817
PA,6,1791,2,6709
PA,6,1798,6,4606
PA,6,1800,7,5755
PA,6,1802,8,4033
PA,6,1804,9,2916
PA,6,1806,10,2979
PA,6,1808,11,6694
PA,6,1810,12,4122
PA,6,1812,13,19534
PA,6,1814,14,17478
PA,6,1816,15,10850
PA,6,1818,16,9038
PA,6,1820,17,24153
PA,6,1822,18,4533
PA,6,1824,19,4425
PA,7,1791,2,4088
PA,7,1796,5,1756
PA,7,1800,7,4201
PA,7,1802,8,3261
PA,7,1804,9,1500
PA,7,1806,10,2866
PA,7,1808,11,5687
PA,7,1810,12,2443
PA,7,1812,13,4462
PA,7,1816,15,4023
PA,7,1818,16,4067
PA,7,1820,17,8507
PA,7,1822,18,14467
PA,7,1824,19,11604
PA,8,1791,2,4416
PA,8,1796,5,1142
PA,8,1798,6,4516
PA,8,1800,7,4129
PA,8,1808,11,6294
PA,8,1810,12,4492
PA,8,1812,13,3204
PA,8,1814,14,2984
PA,8,1818,16,3153
PA,8,1820,17,5302
PA,8,1822,18,15693
PA,8,1824,19,9944
PA,9,1796,5,2122
PA,9,1798,6,4530
PA,9,1800,7,3284
PA,9,1802,8,2718
PA,9,1806,10,1987
PA,9,1808,11,4743
PA,9,1810,12,1401
PA,9,1812,13,4970
PA,9,1814,14,4354
PA,9,1818,16,5716
PA,9,1820,17,7780
PA,9,1824,19,34268
PA,10,1794,4,3417
PA,10,1798,6,4742
PA,10,1800,7,4102
PA,10,1802,8,2300
PA,10,1806,10,1940
PA,10,1808,11,4478
PA,10,1810,12,1908
PA,10,1812,13,15080
PA,10,1820,17,27995
PA,10,1822,18,1478
PA,11,1798,6,3873
